Tarih,Saat,Enlem(N),Boylam(E),Derinlik(km),MD,ML,Mw,Yer,Çözüm Niteliði
2023.06.24,05:44:35,37.9713,36.2848,5.2,-.-,1.4,-.-,KAZANDERE-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.24,05:31:54,37.4245,37.1175,5.6,-.-,1.5,-.-,DENIZLI-PAZARCIK,(KAHRAMANMARAS),Ýlksel
2023.06.24,05:11:02,36.5252,31.0587,15.8,-.-,1.6,-.-,ANTALYA,KORFEZI,(AKDENIZ),Ýlksel
2023.06.24,04:49:17,38.6755,42.1175,6.7,-.-,1.8,-.-,TASUSTU-GUROYMAK,(BITLIS),Ýlksel
2023.06.24,04:45:45,37.9898,36.3438,5.5,-.-,1.4,-.-,HUGTAS-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.24,04:21:38,37.4760,37.1128,5.0,-.-,2.0,-.-,SEYRANTEPE-PAZARCIK,(KAHRAMANMARAS),Ýlksel
2023.06.24,04:16:57,38.4895,39.2803,12.1,-.-,1.3,-.-,BEKCITEPE-SIVRICE,(ELAZIG),Ýlksel
2023.06.24,04:02:30,37.3527,36.8608,6.5,-.-,1.5,-.-,TURKOGLU,(KAHRAMANMARAS),Ýlksel
2023.06.24,03:33:14,37.9637,36.5238,5.0,-.-,2.0,-.-,KIRECKOY-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.24,03:22:46,37.9072,36.2702,1.2,-.-,1.9,-.-,TOPALLAR-SAIMBEYLI,(ADANA),Ýlksel
2023.06.24,03:20:32,37.3807,37.0858,3.9,-.-,1.5,-.-,MAKSUTUSAGI-PAZARCIK,(KAHRAMANMARAS),Ýlksel
2023.06.24,03:13:12,38.3448,37.3333,7.3,-.-,1.1,-.-,INCECIK-ELBISTAN,(KAHRAMANMARAS),Ýlksel
2023.06.24,03:10:03,37.1288,36.1573,6.8,-.-,1.3,-.-,YENIKOY-(OSMANIYE),Ýlksel
2023.06.24,03:02:30,38.8098,37.7865,12.6,-.-,0.9,-.-,YAYLADAMI-HEKIMHAN,(MALATYA),Ýlksel
2023.06.24,02:58:56,38.3717,37.2797,2.8,-.-,1.4,-.-,GOKCEK-ELBISTAN,(KAHRAMANMARAS),Ýlksel
2023.06.24,02:57:39,38.3257,37.3468,14.9,-.-,1.2,-.-,INCECIK-ELBISTAN,(KAHRAMANMARAS),Ýlksel
2023.06.24,02:56:26,37.0353,36.3490,8.5,-.-,1.5,-.-,KARATAS-(OSMANIYE),Ýlksel
2023.06.24,02:42:52,38.0705,27.1990,10.0,-.-,1.8,-.-,CAKALTEPE-MENDERES,(IZMIR),Ýlksel
2023.06.24,02:34:50,36.3983,29.4430,8.4,-.-,2.4,-.-,AKLAR-KAS,(ANTALYA),Ýlksel
2023.06.24,02:13:13,38.1658,40.0135,5.0,-.-,1.4,-.-,TASDAM-EGIL,(DIYARBAKIR),Ýlksel
2023.06.24,01:57:41,36.5230,36.3613,7.8,-.-,1.6,-.-,ALAYBEYLI-KIRIKHAN,(HATAY),Ýlksel
2023.06.24,01:54:46,37.6665,35.5690,10.3,-.-,1.4,-.-,KOPRUCUK-ALADAG,(ADANA),Ýlksel
2023.06.24,01:23:26,34.2692,32.4097,4.9,-.-,2.3,-.-,AKDENIZ,Ýlksel
2023.06.24,01:03:21,39.6015,32.8405,11.2,-.-,1.3,-.-,BEYNAM-BALA,(ANKARA),Ýlksel
2023.06.24,01:03:02,37.7695,36.6760,27.0,-.-,1.5,-.-,SUCATI-(KAHRAMANMARAS),Ýlksel
2023.06.24,00:32:24,37.0615,36.1365,16.7,-.-,1.5,-.-,TOPRAKKALE,(OSMANIYE),Ýlksel
2023.06.24,00:29:48,38.2257,36.1875,4.2,-.-,1.4,-.-,AKPINAR-TUFANBEYLI,(ADANA),Ýlksel
2023.06.24,00:27:58,38.3485,39.4062,5.0,-.-,1.3,-.-,POLATKOY-MADEN,(ELAZIG),Ýlksel
2023.06.24,00:15:36,38.4888,39.5795,3.1,-.-,2.5,-.-,CITLIKOY-MADEN,(ELAZIG),Ýlksel
2023.06.24,00:07:58,39.6775,34.0702,8.4,-.-,1.7,-.-,KILIMLI-AKCAKENT,(KIRSEHIR),Ýlksel
2023.06.24,00:04:17,36.1638,36.0950,11.4,-.-,2.0,-.-,HUSEYINLI-SAMANDAG,(HATAY),Ýlksel
2023.06.23,23:55:08,37.3088,36.4167,19.2,-.-,1.8,-.-,ELBEYLI-DUZICI,(OSMANIYE),Ýlksel
2023.06.23,23:43:19,39.9898,28.1610,12.3,-.-,1.3,-.-,YAHYAKOY-SUSURLUK,(BALIKESIR),Ýlksel
2023.06.23,23:18:27,36.2695,36.3045,5.0,-.-,1.7,-.-,MELEKLI-(HATAY),Ýlksel
2023.06.23,23:13:47,38.0100,36.3278,5.0,-.-,2.9,-.-,HUGTAS-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.23,23:11:39,38.4025,37.5278,5.2,-.-,1.9,-.-,YUKARIULUPINAR-DARENDE,(MALATYA),Ýlksel
2023.06.23,22:59:39,38.0587,36.5697,5.6,-.-,1.4,-.-,TEMURAGA-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.23,22:56:20,38.3368,38.1795,5.0,-.-,2.0,-.-,DURULDU-(MALATYA),Ýlksel
2023.06.23,22:47:18,38.4835,37.2757,5.5,-.-,1.6,-.-,AKARCA-ELBISTAN,(KAHRAMANMARAS),Ýlksel
2023.06.23,22:43:46,38.4252,38.2215,5.0,-.-,1.6,-.-,TEPEKOY-(MALATYA),Ýlksel
2023.06.23,22:26:08,36.1770,36.1613,5.0,-.-,1.6,-.-,DURSUNLU-(HATAY),Ýlksel
2023.06.23,22:10:09,38.2952,27.5295,5.4,-.-,2.4,-.-,CINARDIBI-BAYINDIR,(IZMIR),Ýlksel
