Tarih,Saat,Enlem(N),Boylam(E),Derinlik(km),MD,ML,Mw,Yer,Çözüm Niteliði
2023.06.21,04:43:46,35.5605,27.4538,3.6,-.-,2.6,-.-,AKDENIZ,Ýlksel
2023.06.21,04:42:53,38.0765,37.1915,5.5,-.-,2.3,-.-,EKINOZU,(KAHRAMANMARAS),Ýlksel
2023.06.21,04:13:51,39.6268,25.4367,8.2,-.-,2.1,-.-,EGE,DENIZI,Ýlksel
2023.06.21,04:08:31,37.0232,28.3047,16.7,-.-,1.0,-.-,CETIBELI-MARMARIS,(MUGLA),Ýlksel
2023.06.21,04:06:37,38.4682,37.2832,7.9,-.-,1.4,-.-,AKARCA-ELBISTAN,(KAHRAMANMARAS),Ýlksel
2023.06.21,04:02:57,34.8715,27.7852,5.0,-.-,2.1,-.-,AKDENIZ,Ýlksel
2023.06.21,03:53:29,38.2645,38.6093,7.2,-.-,1.7,-.-,PELITLI-(MALATYA),Ýlksel
2023.06.21,03:31:10,40.4480,33.3945,10.7,-.-,2.2,-.-,MARTKOY-SABANOZU,(CANKIRI),Ýlksel
2023.06.21,03:28:40,38.1718,37.9343,9.6,-.-,2.2,-.-,YUVALI-DOGANSEHIR,(MALATYA),Ýlksel
2023.06.21,03:26:50,37.8002,36.2693,12.8,-.-,1.9,-.-,CIGSAR-ANDIRIN,(KAHRAMANMARAS),Ýlksel
2023.06.21,03:26:09,37.7762,36.2802,14.0,-.-,1.6,-.-,CIGSAR-ANDIRIN,(KAHRAMANMARAS),Ýlksel
2023.06.21,03:15:06,38.0003,36.6075,6.7,-.-,1.2,-.-,SARAYCIK-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.21,03:12:40,37.0605,28.3797,19.4,-.-,0.9,-.-,GOKOVA-ULA,(MUGLA),Ýlksel
2023.06.21,03:11:16,37.4145,37.1228,5.5,-.-,1.6,-.-,DENIZLI-PAZARCIK,(KAHRAMANMARAS),Ýlksel
2023.06.21,03:05:25,38.4997,37.2468,5.0,-.-,1.8,-.-,KECEMAGARA-ELBISTAN,(KAHRAMANMARAS),Ýlksel
2023.06.21,03:04:09,38.1105,36.8693,5.0,-.-,1.6,-.-,KAMISCIK-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.21,02:52:28,38.0435,36.7635,6.3,-.-,1.8,-.-,KINIKKOZ-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.21,02:45:22,38.0858,36.8143,5.4,-.-,1.4,-.-,CARDAK-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.21,02:40:17,38.1365,37.7782,15.0,-.-,1.5,-.-,CAVUSLU-DOGANSEHIR,(MALATYA),Ýlksel
2023.06.21,02:36:56,38.5158,39.4440,10.1,-.-,1.5,-.-,GOLARDI-(ELAZIG),Ýlksel
2023.06.21,02:13:42,38.0163,38.5305,20.0,-.-,1.2,-.-,ESKIKOY-SINCIK,(ADIYAMAN),Ýlksel
2023.06.21,02:02:17,39.6812,35.4888,5.0,-.-,1.5,-.-,SARAYKENT,(YOZGAT),Ýlksel
2023.06.21,01:53:01,38.4317,37.5217,2.7,-.-,2.3,-.-,SUGUL-DARENDE,(MALATYA),Ýlksel
2023.06.21,01:43:33,38.7297,37.6570,23.4,-.-,1.3,-.-,KAYNARCA-KULUNCAK,(MALATYA),Ýlksel
2023.06.21,01:35:46,37.9787,36.3152,2.6,-.-,1.4,-.-,KAZANDERE-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.21,01:22:06,38.9428,42.4937,5.0,-.-,1.8,-.-,TATARGAZI-MALAZGIRT,(MUS),Ýlksel
2023.06.21,01:10:36,38.4647,38.2485,5.0,-.-,1.7,-.-,SUTLUCE-(MALATYA),Ýlksel
2023.06.21,01:00:56,36.8922,36.4888,5.5,-.-,1.3,-.-,HASANLOK-ISLAHIYE,(GAZIANTEP),Ýlksel
2023.06.21,00:36:47,38.8055,37.3985,5.0,-.-,1.5,-.-,YUVA-GURUN,(SIVAS),Ýlksel
2023.06.21,00:34:48,38.0285,37.4402,6.9,-.-,2.1,-.-,NURHAK,(KAHRAMANMARAS),Ýlksel
2023.06.21,00:29:46,37.9523,36.6495,5.0,-.-,3.1,3.0,KURUCAOVA-(KAHRAMANMARAS),Ýlksel
2023.06.21,00:25:22,37.9728,36.2690,4.6,-.-,2.3,-.-,KAZANDERE-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.21,00:19:40,37.5108,37.1865,5.9,-.-,1.7,-.-,SOGUTLU-PAZARCIK,(KAHRAMANMARAS),Ýlksel
2023.06.21,00:14:01,38.5940,37.3623,6.5,-.-,1.2,-.-,KURUDERE-DARENDE,(MALATYA),Ýlksel
2023.06.20,23:56:58,36.8795,36.5928,5.1,-.-,1.6,-.-,SAPANOZU-HASSA,(HATAY),Ýlksel
2023.06.20,23:53:55,38.2927,37.7232,9.3,-.-,1.6,-.-,CEVIRME-AKCADAG,(MALATYA),Ýlksel
2023.06.20,23:44:32,37.9615,36.2677,5.0,-.-,2.2,-.-,KAZANDERE-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.20,23:25:48,38.4495,37.1903,5.3,-.-,1.5,-.-,KARAMAGARA-ELBISTAN,(KAHRAMANMARAS),Ýlksel
2023.06.20,23:24:03,38.1092,36.5723,5.4,-.-,2.0,-.-,CAMDERE-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.20,23:21:01,37.6663,35.6070,8.1,-.-,1.7,-.-,MARANKECILI-KOZAN,(ADANA),Ýlksel
2023.06.20,23:02:20,38.1118,36.4418,5.0,-.-,2.1,-.-,MEHMETBEY-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.20,22:57:04,38.1705,36.9550,5.0,-.-,1.4,-.-,NADIRKOY-AFSIN,(KAHRAMANMARAS),Ýlksel
2023.06.20,22:49:41,37.7072,28.9637,13.1,-.-,1.3,-.-,BASKARCI-(DENIZLI),Ýlksel
2023.06.20,22:31:22,37.8557,36.2500,5.0,-.-,2.6,-.-,TOPALLAR-SAIMBEYLI,(ADANA),Ýlksel
2023.06.20,22:29:47,38.0132,36.5142,5.0,-.-,2.9,-.-,GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.20,22:27:12,37.5617,36.1165,5.8,-.-,2.0,-.-,YESILYAYLA-SUMBAS,(OSMANIYE),Ýlksel
2023.06.20,22:26:15,37.6898,35.9883,5.0,-.-,2.9,-.-,KUYUBELI-KOZAN,(ADANA),Ýlksel
2023.06.20,22:14:31,37.9698,36.5073,5.0,-.-,3.4,3.3,KIRECKOY-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.20,22:08:08,35.8322,25.6957,29.9,-.-,2.7,-.-,AKDENIZ,REVIZE01,(2023.06.20,22:08:09)
2023.06.20,21:56:34,38.3585,37.2383,5.3,-.-,1.3,-.-,EVCIHUYUK-ELBISTAN,(KAHRAMANMARAS),Ýlksel
2023.06.20,21:42:02,37.4423,37.0102,5.0,-.-,1.5,-.-,SIVRICEHUYUK-(KAHRAMANMARAS),Ýlksel
2023.06.20,21:31:54,34.9315,24.1728,7.4,-.-,2.9,-.-,GIRIT,ADASI,(AKDENIZ),Ýlksel
2023.06.20,21:22:46,37.9707,36.2948,5.0,-.-,3.4,3.2,KAZANDERE-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.20,21:20:11,36.0317,36.0785,4.7,-.-,3.2,3.1,KARACURUN-YAYLADAGI,(HATAY),Ýlksel
2023.06.20,21:08:19,36.1618,32.2687,10.2,-.-,2.4,-.-,GAZIPASA,ACIKLARI-ANTALYA,(AKDENIZ),Ýlksel
2023.06.20,20:58:12,37.8907,36.4053,4.8,-.-,1.7,-.-,BUYUKCAMURLU-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.20,20:39:57,38.0842,36.8565,6.9,-.-,1.6,-.-,ERICEK-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.20,20:38:00,37.2782,36.7315,5.3,-.-,1.3,-.-,DEDELER-TURKOGLU,(KAHRAMANMARAS),Ýlksel
2023.06.20,20:32:40,38.0220,36.6727,5.0,-.-,1.8,-.-,KIZILOZ-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.20,20:26:16,37.8437,36.2158,5.0,-.-,1.9,-.-,KARAKUYU-SAIMBEYLI,(ADANA),Ýlksel
2023.06.20,20:19:05,36.2085,36.1367,11.4,-.-,2.4,-.-,CEKMECE-(HATAY),Ýlksel
2023.06.20,20:05:34,37.0495,30.0063,5.0,-.-,1.9,-.-,YUKARIKARAMAN-KORKUTELI,(ANTALYA),Ýlksel
2023.06.20,19:19:38,36.5797,31.1875,21.3,-.-,2.0,-.-,ANTALYA,KORFEZI,(AKDENIZ),Ýlksel
2023.06.20,18:42:50,37.8150,26.8805,5.9,-.-,2.4,-.-,SISAM,ADASI,(EGE,DENIZI),Ýlksel
2023.06.20,18:33:37,37.1223,36.3268,5.5,-.-,2.0,-.-,CONA-(OSMANIYE),Ýlksel
2023.06.20,18:32:14,37.8617,36.3262,5.0,-.-,1.8,-.-,PAYAMBURNU-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.20,18:27:01,38.3255,37.7245,8.1,-.-,1.8,-.-,BEKIRUSAGI-AKCADAG,(MALATYA),Ýlksel
2023.06.20,18:00:36,37.8567,28.0723,2.1,-.-,1.7,-.-,YAVUZKOY-KOSK,(AYDIN),Ýlksel
2023.06.20,18:00:10,40.5820,35.3203,5.3,-.-,2.5,-.-,SULUKLU-MECITOZU,(CORUM),Ýlksel
2023.06.20,17:56:25,38.3910,37.3867,9.1,-.-,2.2,-.-,YALINTAS-ELBISTAN,(KAHRAMANMARAS),Ýlksel
2023.06.20,17:52:25,38.3335,38.3212,5.1,-.-,1.7,-.-,MALATYA,Ýlksel
2023.06.20,17:50:19,38.0692,36.7263,5.5,-.-,1.8,-.-,FINDIK-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.20,17:30:11,38.2958,38.1143,6.2,-.-,1.8,-.-,GORGU-YESILYURT,(MALATYA),Ýlksel
2023.06.20,17:08:17,36.6540,36.4340,7.8,-.-,1.8,-.-,BEKTASLI-KIRIKHAN,(HATAY),Ýlksel
2023.06.20,16:59:07,36.7648,36.1120,6.9,-.-,2.2,-.-,PAYAS-DORTYOL,(HATAY),Ýlksel
2023.06.20,16:32:27,36.1895,31.6325,20.2,-.-,2.3,-.-,ANTALYA,KORFEZI,(AKDENIZ),Ýlksel
2023.06.20,16:29:08,37.9617,36.4470,4.7,-.-,2.3,-.-,TASOLUK-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.20,16:02:00,40.7675,31.0100,11.2,-.-,1.4,-.-,HACIYAKUP-GOLYAKA,(DUZCE),Ýlksel
2023.06.20,15:58:40,37.6385,35.8835,1.7,-.-,1.7,-.-,KARABUCAK-KOZAN,(ADANA),Ýlksel
2023.06.20,15:49:03,38.1733,37.8637,12.8,-.-,2.5,-.-,POLAT-DOGANSEHIR,(MALATYA),Ýlksel
2023.06.20,15:18:17,36.9632,35.3938,7.2,-.-,1.5,-.-,YUREGIR,(ADANA),Ýlksel
2023.06.20,15:18:06,37.3832,37.0698,22.4,-.-,1.8,-.-,HALKACAYIRI-(KAHRAMANMARAS),Ýlksel
2023.06.20,15:15:57,37.7247,28.9872,13.7,-.-,1.8,-.-,BASKARCI-(DENIZLI),REVIZE01,(2023.06.20,15:15:57)
2023.06.20,15:14:59,37.6855,28.9780,5.4,-.-,2.6,-.-,VAKIF-TAVAS,(DENIZLI),Ýlksel
2023.06.20,15:07:44,36.9817,35.7897,5.0,-.-,1.5,-.-,TOKTAMIS-CEYHAN,(ADANA),Ýlksel
2023.06.20,14:51:15,38.2393,36.3405,36.9,-.-,1.1,-.-,BOZGUNEY-TUFANBEYLI,(ADANA),Ýlksel
2023.06.20,14:45:09,38.6782,36.7067,3.1,-.-,1.6,-.-,CAVDAR-SARIZ,(KAYSERI),Ýlksel
2023.06.20,14:31:35,37.6980,36.6305,29.4,-.-,1.5,-.-,YENIDEMIR-(KAHRAMANMARAS),Ýlksel
2023.06.20,14:11:51,38.7778,37.5267,4.4,-.-,1.5,-.-,AYVALI-GURUN,(SIVAS),Ýlksel
2023.06.20,14:01:43,39.1927,35.6912,15.2,-.-,1.8,-.-,BUYUK,TORAMAN-FELAHIYE,(KAYSERI),Ýlksel
2023.06.20,13:59:22,37.9738,37.6168,9.9,-.-,2.1,-.-,KAPIDERE-DOGANSEHIR,(MALATYA),Ýlksel
2023.06.20,13:53:54,38.2430,37.1342,21.6,-.-,2.1,-.-,GUVERCINLIK-ELBISTAN,(KAHRAMANMARAS),Ýlksel
2023.06.20,13:47:28,38.9782,37.5180,31.3,-.-,1.4,-.-,KARLIK-KULUNCAK,(MALATYA),Ýlksel
2023.06.20,13:40:12,40.3975,30.7607,5.6,-.-,1.8,-.-,GOYNUK,(BOLU),Ýlksel
2023.06.20,13:38:38,38.2337,35.9338,0.0,-.-,1.4,-.-,IMAMKULLU-TOMARZA,(KAYSERI),Ýlksel
2023.06.20,13:21:25,38.6305,36.0900,0.0,-.-,1.5,-.-,SAMAGIR-BUNYAN,(KAYSERI),Ýlksel
2023.06.20,13:04:21,37.9012,36.5225,17.7,-.-,1.6,-.-,DEGIRMENDERE-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.20,12:29:37,36.5480,36.6737,18.1,-.-,1.7,-.-,TURKIYE-SURIYE,SINIR,BOLGESI,Ýlksel
